Slide Number,Content
"PDF-2, Pg1","Part II
Relational Databases – Data as Tables"
"PDF-2, Pg2","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg3","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg4","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg5","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg6","Relational Databases – Data as Tables
Relational Databases – Data as Tables
1Relations for Tabular Data
2SQL Data Deﬁnition
3Basic Operations: The Relational Algebra
4SQL as a Query Language
5Manipulation Operations in SQL
Saake Database Concepts Last Edited: April 20, 2022 2–1"
"PDF-2, Pg7","Relational Databases – Data as Tables
Educational Objective for Today . . .
Basic understanding of the structure of
relational databases
Knowledge of base operations of
relational query languages
Elementary ability to use SQL
Saake Database Concepts Last Edited: April 20, 2022 2–2"
"PDF-2, Pg8","Relational Databases – Data as Tables
Educational Objective for Today . . .
Basic understanding of the structure of
relational databases
Knowledge of base operations of
relational query languages
Elementary ability to use SQL
Saake Database Concepts Last Edited: April 20, 2022 2–2"
"PDF-2, Pg9","Relational Databases – Data as Tables
Educational Objective for Today . . .
Basic understanding of the structure of
relational databases
Knowledge of base operations of
relational query languages
Elementary ability to use SQL
Saake Database Concepts Last Edited: April 20, 2022 2–2"
"PDF-2, Pg10","Relational Databases – Data as Tables Relations for Tabular Data
Relations for Tabular Data
Saake Database Concepts Last Edited: April 20, 2022 2–3"
